,income,gender,purchases,score,category,is_active,signup_year,last_login_days,target
0,8213.40262599007,unknown,27,0.7275238239301679,C,1.0,2019.0,9,1
1,7192.075567436009,female,16,0.3796588710448074,A,1.0,2020.0,300,1
2,9728.262584670783,female,10,0.4937041049054401,A,0.0,2018.0,17,1
3,12667.89782234402,female,22,0.5038355374003791,unknown,1.0,2019.0,132,0
4,15926.93773118703,male,25,0.5505869675402798,D,0.0,2020.0,239,0
5,14562.576168467294,male,45,0.6824494800805381,unknown,0.0,2022.0,345,1
6,20042.59745249477,unknown,4,0.2643827006784403,B,1.0,2020.0,208,0
7,13038.837442198525,female,25,0.0024844663695746,B,0.0,2020.0,337,0
8,10631.417960682698,female,5,0.8128447398328611,B,0.0,2019.0,207,1
9,7943.356813007669,male,42,0.8235366941209956,C,0.0,2020.0,195,0
10,8092.90469375861,unknown,33,0.911621766905182,B,1.0,2018.0,82,0
11,12425.671119546649,unknown,41,0.969036639842498,unknown,0.0,2020.0,79,1
12,5502.501361998082,female,12,0.1591714428493886,unknown,0.0,2022.0,35,1
13,11030.392626363711,male,24,0.3538716721074662,unknown,0.0,2019.0,129,1
14,9915.10796888252,female,1,0.8513592341151413,B,0.0,2021.0,284,0
15,5269.643681652183,unknown,16,0.0145295329548583,D,1.0,2018.0,152,1
16,21361.228757793288,unknown,40,0.3875339757288959,C,0.0,2021.0,22,0
17,3715.4297520176897,female,39,0.113385893799885,unknown,1.0,2019.0,308,1
18,9695.086460440229,female,39,0.7884582659570163,unknown,1.0,2019.0,191,0
19,15501.627136707428,unknown,38,0.7471304065355973,C,0.0,2020.0,77,1
20,12380.755892177252,unknown,24,0.7543027056034222,unknown,0.0,2018.0,74,1
21,7869.089998199526,female,26,0.3902351686669386,A,0.0,2022.0,131,0
22,4635.337890045978,unknown,47,0.4062475666735624,C,0.0,2021.0,329,0
23,10584.03899466786,female,23,0.2618646693809828,unknown,1.0,2019.0,12,0
24,1877.818621106964,female,48,0.3608935378075882,C,0.0,2019.0,148,1
25,10764.401771781408,unknown,32,0.9830815423027855,A,0.0,2022.0,97,0
26,10156.719641025433,unknown,26,0.0465687612481546,A,0.0,2022.0,135,0
27,14815.548678369698,male,44,0.324007574942754,B,1.0,2021.0,353,0
28,4854.971156120053,male,30,0.789922961159599,unknown,0.0,2019.0,391,1
29,8544.378700692703,female,47,0.3823459819147012,A,0.0,2018.0,211,1
30,11966.05741076883,unknown,37,0.949984416956515,A,0.0,2022.0,38,0
31,3958.090763903112,unknown,43,0.8497583466191223,B,0.0,2022.0,325,0
32,7086.242213272528,female,39,0.8150948516495777,unknown,1.0,2020.0,292,1
33,16299.602021041272,male,0,0.0092076261725762,C,0.0,2019.0,350,0
34,11166.96873381002,unknown,10,0.4029890940869164,B,1.0,2022.0,198,0
35,13974.544660048015,male,32,0.4796085494807026,A,0.0,2019.0,385,0
36,2803.308732762488,unknown,47,0.46277106511028,B,0.0,2021.0,309,0
37,8618.407760742619,female,31,0.9055294988014372,D,0.0,2019.0,397,1
38,12534.74449559415,unknown,24,0.1835813480675856,D,0.0,2022.0,118,0
39,15461.676460084313,unknown,38,0.1821911222332021,A,0.0,2018.0,268,1
